Variables,,Total land area (km2),Metropolitan land share of national value (%),Green area per million people (square meters per million person),Urban form,,Territorial organisation,,,
,,,,,Polycentricity,Concentration of population in the core (%),Local governments (count),Local governments in the core (count),Territorial fragmentation,Average population size of local government
Unit,,Square kilometres,Percentage,Ratio,Number,Percentage,Number,Number,Per 100 000 inhabitants,Ratio
Metropolitan areas,,,,,,,,,,
  US048: Boston,,4829.9,0.05,86.06,1,100,120,120,3.26,30702.08
  US055: Chicago,,18910.46,0.21,411.29,1,96.53,540,226,5.59,17879.66
  US069: Cleveland,,1790.11,0.02,522.65,1,84.26,82,59,5.58,17905.95
  US084: New York,,9882.07,0.11,39.39,2,97.47,356,323,2.13,46949.42
  US103: Harrisburg,,5330.03,0.06,3690.98,1,87.78,120,73,20.27,4933.23
  US115: Indianapolis,,6929.77,0.08,967.54,1,52.06,138,24,7.8,12822.91
  US117: Dayton,,2280.64,0.02,1120.24,1,75.85,50,28,7.21,13865.46
  US133: Colorado Springs,,6963.22,0.08,14.83,1,96.46,11,8,1.58,63160.91
  US141: Louisville,,9429.64,0.1,4020.98,1,85.57,161,85,12.52,7990.12
  US147: Wichita,,9428.96,0.1,40.12,1,84.9,129,46,21.15,4727.81
  US149: Richmond,,795.09,0.01,201.11,1,38.75,2,1,0.37,266844.5
  US154: Norfolk-Portsmouth-Chesapeake-Virginia beach,,3054.99,0.03,735.49,1,70.55,5,3,0.45,221988.4
  US155: Fresno,,21162.1,0.23,75.96,1,85.81,17,15,1.47,67822.29
  US159: Las Vegas,,67988.47,0.74,1.4,1,97.84,6,5,0.26,382268.33
  US160: Nashville,,9094.09,0.1,4034.75,1,48.99,40,7,3.01,33214.3
  US161: Tulsa,,18235.43,0.2,2087.61,1,63.15,79,12,8.04,12432.73
  US170: Raleigh,,5562.72,0.06,1424.99,1,80.06,27,12,2.08,48170.81
  US174: Oklahoma city,,14456.94,0.16,124.36,1,90.31,53,27,4,24980.38
  US178: Charlotte,,4016.56,0.04,691.96,1,69.76,25,7,1.7,58966.56
  US180: Albuquerque,,24079.87,0.26,63.22,1,74.02,17,3,1.77,56519.94
  US181: Memphis,,13234.05,0.14,2944.82,1,85.67,47,7,3.41,29326.51
  US186: Little Rock,,7781.82,0.08,2646.35,1,54.99,34,8,4.77,20944.35
  US195: Columbia,,3961.67,0.04,197.4,1,59.32,19,5,2.73,36686.89
  US205: Birmingham (US),,6692.58,0.07,1160.29,1,70.06,55,32,5.86,17050.71
  US212: Fort Worth,,4681.62,0.05,21.49,1,93.8,46,34,2.18,45821.54
  US213: Charleston,,7361.17,0.08,421.31,1,51.2,27,16,3.76,26626.19
  US223: Tucson,,23799.97,0.26,1.03,1,100,5,5,0.48,208173.4
  US227: El Paso,,14467.58,0.16,3.5,1,99.59,7,6,0.82,122631.57
  US233: Baton Rouge,,6438.7,0.07,802.96,1,66.82,25,3,3.7,27032.72
  US234: Austin,,11084.37,0.12,141.31,1,67.1,44,26,2.25,44501.8
  US237: Jacksonville,,8871.53,0.1,149.69,1,76.86,14,5,0.96,103760.5
  US241: New Orleans,,12510.83,0.14,207.63,1,76.04,18,7,1.56,63927.89
  US251: Clearwater/Saint Petersburg,,2853.86,0.03,267.46,1,100,30,30,2.09,47940.27
  US252: Tampa,,2819.26,0.03,425.12,1,100,3,3,0.22,445190.33
  US261: Mcallen,,4102,0.04,123.7,1,100,22,22,2.51,39832
  US035: Madison,,5268.07,0.06,4702.53,1,89.77,93,59,16.21,6169.77
  US038: Buffalo,,4111.52,0.04,2353.84,1,80.83,63,43,5.62,17809.08
  US039: Grand Rapids,,2258.97,0.02,2748.92,1,100,34,34,5.53,18068.29
  US044: Albany,,7454.61,0.08,1800.88,1,96.26,79,27,8.88,11258.82
  US060: Providence,,1665.12,0.02,122.84,1,94.13,24,21,2.84,35169.17
  US065: Toledo (US),,908.74,0.01,579.63,1,100,21,21,4.81,20791.76
